title,publication_date,file_path,duration,file_size,,New Title,
RATE MY TRADE SHOW | Fantasy Basketball Live Mailbag,2024-01-15 22:44:27+00:00,Fantasy NBA Today/RATE MY TRADE SHOW  Fantasy Basketball Live Mailbag.mp3,0:42:43,39.22,,RATE MY TRADE SHOW  Fantasy Basketball Live Mailbag,
Fantasy Basketball ADDS for Week 13 & Streaming Schedule,2024-01-15 02:44:04+00:00,Fantasy NBA Today/Fantasy Basketball ADDS for Week 13  Streaming Schedule.mp3,0:51:05,46.87,,Fantasy Basketball ADDS for Week 13  Streaming Schedule,
"Donte For Real! | Week 12 Recap | Adds, Drops, Buys, Sells",2024-01-12 18:50:56+00:00,Fantasy NBA Today/Donte For Real  Week 12 Recap  Adds Drops Buys Sells.mp3,0:42:55,39.39,,Donte For Real  Week 12 Recap  Adds Drops Buys Sells,
Is Jalen Johnson the Pick of the Year?,2024-01-11 17:57:34+00:00,Fantasy NBA Today/Is Jalen Johnson the Pick of the Year.mp3,0:41:44,38.31,,Is Jalen Johnson the Pick of the Year,
"Buy Low Fantasy Basketball Players, Week 12",2024-01-10 23:03:32+00:00,Fantasy NBA Today/Buy Low Fantasy Basketball Players Week 12.mp3,0:24:45,22.74,,Buy Low Fantasy Basketball Players Week 12,
"Anthony Davis, Domantas Sabonis BIG MAN SMASH",2024-01-10 18:03:31+00:00,Fantasy NBA Today/Anthony Davis Domantas Sabonis BIG MAN SMASH.mp3,0:45:05,41.38,,Anthony Davis Domantas Sabonis BIG MAN SMASH,
"Ja Morant Out for the Season! | Haliburton, Cade Get Decent News",2024-01-09 20:05:56+00:00,Fantasy NBA Today/Ja Morant Out for the Season  Haliburton Cade Get Decent News.mp3,0:48:49,44.8,,Ja Morant Out for the Season  Haliburton Cade Get Decent News,
Tre Jones Starts! Week 11 Recap | Best Adds and Key Injuries,2024-01-08 22:48:31+00:00,Fantasy NBA Today/Tre Jones Starts Week 11 Recap  Best Adds and Key Injuries.mp3,0:29:00,26.64,,Tre Jones Starts Week 11 Recap  Best Adds and Key Injuries,
"Buy Low Players for Fantasy Basketball, Week 11",2024-01-05 22:12:33+00:00,Fantasy NBA Today/Buy Low Players for Fantasy Basketball Week 11.mp3,0:32:01,29.33,,Buy Low Players for Fantasy Basketball Week 11,
Darvin Ham in Trouble? | Key DROPS for Thursday,2024-01-04 19:58:40+00:00,Fantasy NBA Today/Darvin Ham in Trouble  Key DROPS for Thursday.mp3,1:05:13,59.78,,Darvin Ham in Trouble  Key DROPS for Thursday,
Steph's Buy Low Window... CLOSED!,2024-01-03 19:57:58+00:00,Fantasy NBA Today/Stephs Buy Low Window CLOSED.mp3,0:32:43,30.02,,Stephs Buy Low Window CLOSED,
"Must Adds, Drops, Streams for Fantasy Basketball Week 11 | OG Anunoby, Immanuel Quickley Trade",2024-01-02 23:54:49+00:00,Fantasy NBA Today/Must Adds Drops Streams for Fantasy Basketball Week 11  OG Anunoby Immanuel Quickley Trade.mp3,0:50:14,46.05,,Must Adds Drops Streams for Fantasy Basketball Week 11  OG Anunoby Immanuel Quickley Trade,
Biggest Adds/Drops of Week 10 | Early Week 11 Schedule Analysis!,2023-12-29 06:11:15+00:00,Fantasy NBA Today/Biggest AddsDrops of Week 10  Early Week 11 Schedule Analysis.mp3,0:46:14,42.39,,Biggest AddsDrops of Week 10  Early Week 11 Schedule Analysis,
Jarrett Allen Wants to be Andre Drummond | Fantasy Basketball Recap on Thursday Morning,2023-12-28 17:24:19+00:00,Fantasy NBA Today/Jarrett Allen Wants to be Andre Drummond  Fantasy Basketball Recap on Thursday Morning.mp3,0:42:44,39.19,,Jarrett Allen Wants to be Andre Drummond  Fantasy Basketball Recap on Thursday Morning,
Andre Drummond Did WHAT?!? | Fantasy Basketball Recap on Wednesday Morning,2023-12-27 19:12:13+00:00,Fantasy NBA Today/Andre Drummond Did WHAT  Fantasy Basketball Recap on Wednesday Morning.mp3,0:49:29,45.37,,Andre Drummond Did WHAT  Fantasy Basketball Recap on Wednesday Morning,
Buy Low Fantasy Basketball Players for Week 10,2023-12-26 23:50:54+00:00,Fantasy NBA Today/Buy Low Fantasy Basketball Players for Week 10.mp3,0:25:26,23.35,,Buy Low Fantasy Basketball Players for Week 10,
Luka Drops 50 | Christmas Fantasy Basketball Recap | Podziemski and Other Key Moves,2023-12-26 17:21:03+00:00,Fantasy NBA Today/Luka Drops 50  Christmas Fantasy Basketball Recap  Podziemski and Other Key Moves.mp3,0:45:00,41.26,,Luka Drops 50  Christmas Fantasy Basketball Recap  Podziemski and Other Key Moves,
Christmas MUST ADDS for Fantasy Basketball & Week 10 Preview Combo Show,2023-12-25 00:06:24+00:00,Fantasy NBA Today/Christmas MUST ADDS for Fantasy Basketball  Week 10 Preview Combo Show.mp3,0:57:44,52.92,,Christmas MUST ADDS for Fantasy Basketball  Week 10 Preview Combo Show,
"Week 9 Fantasy Basketball Recap | Adds, Drops, Buys, Sells | 30 TEAMS, 1 SHOW!",2023-12-22 19:44:36+00:00,Fantasy NBA Today/Week 9 Fantasy Basketball Recap  Adds Drops Buys Sells  30 TEAMS 1 SHOW.mp3,0:47:30,43.56,,Week 9 Fantasy Basketball Recap  Adds Drops Buys Sells  30 TEAMS 1 SHOW,
Is Embiid the Best Player in the NBA? Is Derrick White an All Star,2023-12-21 18:57:51+00:00,Fantasy NBA Today/Is Embiid the Best Player in the NBA Is Derrick White an All Star.mp3,0:44:53,41.16,,Is Embiid the Best Player in the NBA Is Derrick White an All Star,
The Best Fantasy Basketball Picks of the Year (so far),2023-12-21 16:10:58+00:00,Fantasy NBA Today/The Best Fantasy Basketball Picks of the Year so far.mp3,0:30:19,27.82,,The Best Fantasy Basketball Picks of the Year so far,
Ja Morant Holy Crap! | Tuesday Recap | Trayce Jackson-Davis Thoughts,2023-12-20 19:27:57+00:00,Fantasy NBA Today/Ja Morant Holy Crap  Tuesday Recap  Trayce Jackson-Davis Thoughts.mp3,0:41:54,38.42,,Ja Morant Holy Crap  Tuesday Recap  Trayce Jackson-Davis Thoughts,
"Sell High Players for Fantasy Basketball, Week 9",2023-12-20 16:15:47+00:00,Fantasy NBA Today/Sell High Players for Fantasy Basketball Week 9.mp3,0:27:53,25.6,,Sell High Players for Fantasy Basketball Week 9,
James Harden's Back! | Monday Recap | Adds and Drops!,2023-12-19 19:07:07+00:00,Fantasy NBA Today/James Hardens Back  Monday Recap  Adds and Drops.mp3,0:48:44,44.68,,James Hardens Back  Monday Recap  Adds and Drops,
"Buy Low Players for Fantasy Basketball, Week 9",2023-12-19 16:11:49+00:00,Fantasy NBA Today/Buy Low Players for Fantasy Basketball Week 9.mp3,0:30:24,27.9,,Buy Low Players for Fantasy Basketball Week 9,
Week 9 Fantasy Basketball Preview | Win Your Head-to-Head Match-up | Injury News | Streaming,2023-12-18 22:29:32+00:00,Fantasy NBA Today/Week 9 Fantasy Basketball Preview  Win Your Head-to-Head Match-up  Injury News  Streaming.mp3,0:26:09,24,,Week 9 Fantasy Basketball Preview  Win Your Head-to-Head Match-up  Injury News  Streaming,
"Must Add Fantasy Basketball Players, Week 9 | ALL 30 Team Review",2023-12-18 18:33:05+00:00,Fantasy NBA Today/Must Add Fantasy Basketball Players Week 9  ALL 30 Team Review.mp3,0:56:09,51.47,,Must Add Fantasy Basketball Players Week 9  ALL 30 Team Review,
"Week 8 Fantasy Basketball Recap | Adds, Drops, Buys, Sells | ALL 30 TEAMS COVERED",2023-12-15 19:59:07+00:00,Fantasy NBA Today/Week 8 Fantasy Basketball Recap  Adds Drops Buys Sells  ALL 30 TEAMS COVERED.mp3,0:51:28,47.19,,Week 8 Fantasy Basketball Recap  Adds Drops Buys Sells  ALL 30 TEAMS COVERED,
60 for Giannis! | Wednesday Fantasy Basketball Recap | Tari Eason and other Adds!,2023-12-14 18:29:21+00:00,Fantasy NBA Today/60 for Giannis  Wednesday Fantasy Basketball Recap  Tari Eason and other Adds.mp3,0:50:29,46.29,,60 for Giannis  Wednesday Fantasy Basketball Recap  Tari Eason and other Adds,
"Sell High Players for Fantasy Basketball, Week 8",2023-12-13 23:00:30+00:00,Fantasy NBA Today/Sell High Players for Fantasy Basketball Week 8.mp3,0:34:54,32.02,,Sell High Players for Fantasy Basketball Week 8,
Dray Must Pay | Tuesday Fantasy Basketball Recap | Best Pickups,2023-12-13 17:38:41+00:00,Fantasy NBA Today/Dray Must Pay  Tuesday Fantasy Basketball Recap  Best Pickups.mp3,0:42:13,38.72,,Dray Must Pay  Tuesday Fantasy Basketball Recap  Best Pickups,
"Buy Low Players for Fantasy Basketball, Week 8",2023-12-13 00:13:57+00:00,Fantasy NBA Today/Buy Low Players for Fantasy Basketball Week 8.mp3,0:25:39,23.55,,Buy Low Players for Fantasy Basketball Week 8,
Mathurin Shines | Monday Fantasy Basketball Recap | Who to Add NOW,2023-12-12 19:01:00+00:00,Fantasy NBA Today/Mathurin Shines  Monday Fantasy Basketball Recap  Who to Add NOW.mp3,0:58:44,53.84,,Mathurin Shines  Monday Fantasy Basketball Recap  Who to Add NOW,
MUST ADD PLAYERS for Fantasy Basketball & Week 8 Schedules | 30-Team Weekend 7 Recap,2023-12-10 18:02:02+00:00,Fantasy NBA Today/MUST ADD PLAYERS for Fantasy Basketball  Week 8 Schedules  30-Team Weekend 7 Recap.mp3,0:45:13,41.47,,MUST ADD PLAYERS for Fantasy Basketball  Week 8 Schedules  30-Team Weekend 7 Recap,
Dynasty MUST ADDS & AVOIDS for December,2023-12-09 01:00:00+00:00,Fantasy NBA Today/Dynasty MUST ADDS  AVOIDS for December.mp3,0:32:44,30.04,,Dynasty MUST ADDS  AVOIDS for December,
"Week 7 Fantasy Basketball Recap | Adds, Drops, Buys, Sells | 26-Team Weekend Preview",2023-12-08 18:02:15+00:00,Fantasy NBA Today/Week 7 Fantasy Basketball Recap  Adds Drops Buys Sells  26-Team Weekend Preview.mp3,0:46:44,42.85,,Week 7 Fantasy Basketball Recap  Adds Drops Buys Sells  26-Team Weekend Preview,
"Simons, Oubre, Murray BACK!  | Wednesday Recap Show",2023-12-07 18:36:29+00:00,Fantasy NBA Today/Simons Oubre Murray BACK   Wednesday Recap Show.mp3,1:00:43,55.65,,Simons Oubre Murray BACK   Wednesday Recap Show,
"Randle's 41 Not Enough, Bucks, Lakers Advance | Fantasy Basketball Tuesday Recap Show",2023-12-06 19:09:13+00:00,Fantasy NBA Today/Randles 41 Not Enough Bucks Lakers Advance  Fantasy Basketball Tuesday Recap Show.mp3,0:43:14,39.64,,Randles 41 Not Enough Bucks Lakers Advance  Fantasy Basketball Tuesday Recap Show,
"Sell High Players for Fantasy Basketball, Week 7",2023-12-06 18:02:28+00:00,Fantasy NBA Today/Sell High Players for Fantasy Basketball Week 7.mp3,0:26:49,24.61,,Sell High Players for Fantasy Basketball Week 7,
Haliburton Triple Double! | Pacers and Pelicans Advance! | Monday Recap,2023-12-05 18:54:14+00:00,Fantasy NBA Today/Haliburton Triple Double  Pacers and Pelicans Advance  Monday Recap.mp3,0:38:09,34.99,,Haliburton Triple Double  Pacers and Pelicans Advance  Monday Recap,
"Buy Low Players for Fantasy Basketball, Week 7",2023-12-05 17:55:41+00:00,Fantasy NBA Today/Buy Low Players for Fantasy Basketball Week 7.mp3,0:28:04,25.76,,Buy Low Players for Fantasy Basketball Week 7,
"Week 7 Fantasy Basketball Strategy, Preview | Best, Worst Schedules & IST | Streaming Guide",2023-12-04 23:25:10+00:00,Fantasy NBA Today/Week 7 Fantasy Basketball Strategy Preview  Best Worst Schedules  IST  Streaming Guide.mp3,0:43:09,39.57,,Week 7 Fantasy Basketball Strategy Preview  Best Worst Schedules  IST  Streaming Guide,
MUST ADD PLAYERS for Fantasy Basketball Week 7 | 30-Team Weekend 6 Recap,2023-12-04 18:20:08+00:00,Fantasy NBA Today/MUST ADD PLAYERS for Fantasy Basketball Week 7  30-Team Weekend 6 Recap.mp3,1:00:21,55.32,,MUST ADD PLAYERS for Fantasy Basketball Week 7  30-Team Weekend 6 Recap,
"Week 6 Recap | Adds, Drops, Buys, Sells | 30-Team Weekend Preview",2023-12-01 18:23:04+00:00,Fantasy NBA Today/Week 6 Recap  Adds Drops Buys Sells  30-Team Weekend Preview.mp3,0:52:20,47.97,,Week 6 Recap  Adds Drops Buys Sells  30-Team Weekend Preview,
Kawhi Ain't Washed! | Fantasy Basketball Wednesday Recap,2023-11-30 18:41:19+00:00,Fantasy NBA Today/Kawhi Aint Washed  Fantasy Basketball Wednesday Recap.mp3,1:02:34,57.35,,Kawhi Aint Washed  Fantasy Basketball Wednesday Recap,
"Sell High Players, Week 6",2023-11-29 21:10:30+00:00,Fantasy NBA Today/Sell High Players Week 6.mp3,0:25:59,23.85,,Sell High Players Week 6,
NBA Cup Is Set! | Fantasy Basketball Tuesday Recap,2023-11-29 19:01:43+00:00,Fantasy NBA Today/NBA Cup Is Set  Fantasy Basketball Tuesday Recap.mp3,0:56:09,51.47,,NBA Cup Is Set  Fantasy Basketball Tuesday Recap,
"Buy Low Players for Fantasy Basketball, Week 6",2023-11-28 22:53:47+00:00,Fantasy NBA Today/Buy Low Players for Fantasy Basketball Week 6.mp3,0:25:33,23.46,,Buy Low Players for Fantasy Basketball Week 6,
Reggie Jackson REVENGE | Fantasy Basketball Monday Recap | November 28 Show,2023-11-28 18:07:10+00:00,Fantasy NBA Today/Reggie Jackson REVENGE  Fantasy Basketball Monday Recap  November 28 Show.mp3,0:53:28,49.01,,Reggie Jackson REVENGE  Fantasy Basketball Monday Recap  November 28 Show,
"Week 6 Fantasy Basketball Strategy | Best, Worst Schedules | Streaming Guide",2023-11-27 23:02:31+00:00,Fantasy NBA Today/Week 6 Fantasy Basketball Strategy  Best Worst Schedules  Streaming Guide.mp3,0:49:24,45.29,,Week 6 Fantasy Basketball Strategy  Best Worst Schedules  Streaming Guide,
Waiver Wire for Fantasy Basketball Week 6 | 30-Team Recap | Adds of the Day,2023-11-27 19:00:44+00:00,Fantasy NBA Today/Waiver Wire for Fantasy Basketball Week 6  30-Team Recap  Adds of the Day.mp3,1:16:59,70.54,,Waiver Wire for Fantasy Basketball Week 6  30-Team Recap  Adds of the Day,
"Week 5 Recap | Adds, Drops, Buys, Sells | 30-Team Weekend Preview",2023-11-24 18:32:44+00:00,Fantasy NBA Today/Week 5 Recap  Adds Drops Buys Sells  30-Team Weekend Preview.mp3,0:59:58,54.97,,Week 5 Recap  Adds Drops Buys Sells  30-Team Weekend Preview,
Buddy Hield is BACK | Fantasy Basketball Tuesday Recap | November 21 Show,2023-11-22 19:17:59+00:00,Fantasy NBA Today/Buddy Hield is BACK  Fantasy Basketball Tuesday Recap  November 21 Show.mp3,0:55:44,51.09,,Buddy Hield is BACK  Fantasy Basketball Tuesday Recap  November 21 Show,
"Sell High Players for Fantasy Basketball, Week 5",2023-11-22 16:10:49+00:00,Fantasy NBA Today/Sell High Players for Fantasy Basketball Week 5.mp3,0:26:49,24.61,,Sell High Players for Fantasy Basketball Week 5,
Giannis SMASH & Ivey Surfaces | Fantasy Basketball Monday Recap | Tuesday Preview,2023-11-21 20:00:00+00:00,Fantasy NBA Today/Giannis SMASH  Ivey Surfaces  Fantasy Basketball Monday Recap  Tuesday Preview.mp3,0:48:59,44.91,,Giannis SMASH  Ivey Surfaces  Fantasy Basketball Monday Recap  Tuesday Preview,
"Buy Low Players for Fantasy Basketball, Week 5",2023-11-21 19:07:57+00:00,Fantasy NBA Today/Buy Low Players for Fantasy Basketball Week 5.mp3,0:27:24,25.15,,Buy Low Players for Fantasy Basketball Week 5,
"Week 5 Fantasy Basketball Strategy | Best, Worst Schedules | Streaming Guide",2023-11-20 23:18:48+00:00,Fantasy NBA Today/Week 5 Fantasy Basketball Strategy  Best Worst Schedules  Streaming Guide.mp3,0:43:33,39.93,,Week 5 Fantasy Basketball Strategy  Best Worst Schedules  Streaming Guide,
Waiver Wire for Fantasy Basketball Week 5 | 30-Team Weekend 4 Recap | Adds of the Day,2023-11-20 20:09:03+00:00,Fantasy NBA Today/Waiver Wire for Fantasy Basketball Week 5  30-Team Weekend 4 Recap  Adds of the Day.mp3,0:57:02,52.28,,Waiver Wire for Fantasy Basketball Week 5  30-Team Weekend 4 Recap  Adds of the Day,
"Week 4 Recap | Adds, Drops, Buys, Sells | 30-Team Weekend Preview",2023-11-17 18:42:37+00:00,Fantasy NBA Today/Week 4 Recap  Adds Drops Buys Sells  30-Team Weekend Preview.mp3,1:04:51,59.44,,Week 4 Recap  Adds Drops Buys Sells  30-Team Weekend Preview,
"Sell High Players for Fantasy Basketball, Week 4 with Special Guest Josh Lloyd",2023-11-17 00:05:33+00:00,Fantasy NBA Today/Sell High Players for Fantasy Basketball Week 4 with Special Guest Josh Lloyd.mp3,0:28:32,26.19,,Sell High Players for Fantasy Basketball Week 4 with Special Guest Josh Lloyd,
Damian Lillard Drops 37 and 13 | Fantasy Basketball Wednesday Recap | Thursday Lookahead,2023-11-16 18:13:41+00:00,Fantasy NBA Today/Damian Lillard Drops 37 and 13  Fantasy Basketball Wednesday Recap  Thursday Lookahead.mp3,1:00:00,55,,Damian Lillard Drops 37 and 13  Fantasy Basketball Wednesday Recap  Thursday Lookahead,
Draymond Chokes Gobert! Fantasy Basketball Tuesday Recap | Wednesday Lookahead,2023-11-15 18:53:02+00:00,Fantasy NBA Today/Draymond Chokes Gobert Fantasy Basketball Tuesday Recap  Wednesday Lookahead.mp3,1:01:59,56.81,,Draymond Chokes Gobert Fantasy Basketball Tuesday Recap  Wednesday Lookahead,
"Buy Low Players for Fantasy Basketball, Week 4",2023-11-15 01:35:00+00:00,Fantasy NBA Today/Buy Low Players for Fantasy Basketball Week 4.mp3,0:29:44,27.29,,Buy Low Players for Fantasy Basketball Week 4,
Keegan Erupts! Monday Fantasy Basketball Recap & 10-Game Tuesday Preview,2023-11-14 18:23:29+00:00,Fantasy NBA Today/Keegan Erupts Monday Fantasy Basketball Recap  10-Game Tuesday Preview.mp3,0:57:44,52.92,,Keegan Erupts Monday Fantasy Basketball Recap  10-Game Tuesday Preview,
"Week 4 Fantasy Basketball Preview: Streaming, Weekly Choices, Injury Updates & Strategies",2023-11-13 23:13:13+00:00,Fantasy NBA Today/Week 4 Fantasy Basketball Preview Streaming Weekly Choices Injury Updates  Strategies.mp3,0:54:44,50.18,,Week 4 Fantasy Basketball Preview Streaming Weekly Choices Injury Updates  Strategies,
"30-Team Weekend 3 Fantasy Basketball Recap | Adds, Drops, Buys, Sells | Waiver Wire",2023-11-13 18:53:07+00:00,Fantasy NBA Today/30-Team Weekend 3 Fantasy Basketball Recap  Adds Drops Buys Sells  Waiver Wire.mp3,1:04:54,59.49,,30-Team Weekend 3 Fantasy Basketball Recap  Adds Drops Buys Sells  Waiver Wire,
"Scottie Barnes: BUY, SELL OR HOLD? ... Let's Make a Fantasy Trade!",2023-11-11 20:29:01+00:00,Fantasy NBA Today/Scottie Barnes BUY SELL OR HOLD  Lets Make a Fantasy Trade.mp3,0:31:14,28.66,,Scottie Barnes BUY SELL OR HOLD  Lets Make a Fantasy Trade,
"Week 3 Fantasy Basketball Recap - Adds, Drops, Buys, Sells",2023-11-10 19:21:33+00:00,Fantasy NBA Today/Week 3 Fantasy Basketball Recap - Adds Drops Buys Sells.mp3,1:02:13,57.02,,Week 3 Fantasy Basketball Recap - Adds Drops Buys Sells,
Is It Keyonte George & Tari Eason Stash Time? 14-Game Wednesday Recap,2023-11-09 18:17:17+00:00,Fantasy NBA Today/Is It Keyonte George  Tari Eason Stash Time 14-Game Wednesday Recap.mp3,1:11:13,65.27,,Is It Keyonte George  Tari Eason Stash Time 14-Game Wednesday Recap,
"Buy Low or Bust, Vol 1: KAT, Poole, Fultz & 14-Game Wednesday Lookahead",2023-11-08 18:53:32+00:00,Fantasy NBA Today/Buy Low or Bust Vol 1 KAT Poole Fultz  14-Game Wednesday Lookahead.mp3,1:16:38,70.23,,Buy Low or Bust Vol 1 KAT Poole Fultz  14-Game Wednesday Lookahead,
Is It Jordan Hawkins Time? | A Monster Monday Fantasy Basketball Recap,2023-11-07 20:30:00+00:00,Fantasy NBA Today/Is It Jordan Hawkins Time  A Monster Monday Fantasy Basketball Recap.mp3,0:59:09,54.22,,Is It Jordan Hawkins Time  A Monster Monday Fantasy Basketball Recap,
"Buy-Sell Week 3 - Wemby, Chet, Cade and More with Guest Raphielle Johnson",2023-11-07 18:10:47+00:00,Fantasy NBA Today/Buy-Sell Week 3 - Wemby Chet Cade and More with Guest Raphielle Johnson.mp3,0:37:09,34.07,,Buy-Sell Week 3 - Wemby Chet Cade and More with Guest Raphielle Johnson,
"Week 3 Preview - Daily and Weekly Streaming, Injury Updates & Strategies",2023-11-06 23:05:58+00:00,Fantasy NBA Today/Week 3 Preview - Daily and Weekly Streaming Injury Updates  Strategies.mp3,0:49:49,45.68,,Week 3 Preview - Daily and Weekly Streaming Injury Updates  Strategies,
"Weekend 2 Review, Waiver Wire Adds & Drops and Monday Preview",2023-11-06 18:40:14+00:00,Fantasy NBA Today/Weekend 2 Review Waiver Wire Adds  Drops and Monday Preview.mp3,1:06:47,61.2,,Weekend 2 Review Waiver Wire Adds  Drops and Monday Preview,
"Week 2 Fantasy Basketball Recap - Adds, Drops, Buys, Sells",2023-11-03 17:57:59+00:00,Fantasy NBA Today/Week 2 Fantasy Basketball Recap - Adds Drops Buys Sells.mp3,1:24:56,77.82,,Week 2 Fantasy Basketball Recap - Adds Drops Buys Sells,
Kawhi Plays in a Back-to-Back - Big Wednesday Fantasy Basketball Recap & TNT Thursday Preview,2023-11-02 18:58:38+00:00,Fantasy NBA Today/Kawhi Plays in a Back-to-Back - Big Wednesday Fantasy Basketball Recap  TNT Thursday Preview.mp3,0:53:49,49.33,,Kawhi Plays in a Back-to-Back - Big Wednesday Fantasy Basketball Recap  TNT Thursday Preview,
"Wembanyama, Spurs Stun Suns, Tuesday Fantasy Basketball Recap & Big Wednesday Lookahead",2023-11-01 17:29:36+00:00,Fantasy NBA Today/Wembanyama Spurs Stun Suns Tuesday Fantasy Basketball Recap  Big Wednesday Lookahead.mp3,0:56:13,51.54,,Wembanyama Spurs Stun Suns Tuesday Fantasy Basketball Recap  Big Wednesday Lookahead,
"Jaylen Brown, Walker Kessler Bust Out, Monday Fantasy Basketball Recap",2023-10-31 19:52:13+00:00,Fantasy NBA Today/Jaylen Brown Walker Kessler Bust Out Monday Fantasy Basketball Recap.mp3,0:55:14,50.63,,Jaylen Brown Walker Kessler Bust Out Monday Fantasy Basketball Recap,
"BREAKING (Instant Reaction), James Harden traded to LA Clippers - Fantasy Basketball Breakdown",2023-10-31 16:37:18+00:00,Fantasy NBA Today/BREAKING Instant Reaction James Harden traded to LA Clippers - Fantasy Basketball Breakdown.mp3,0:32:09,29.5,,BREAKING Instant Reaction James Harden traded to LA Clippers - Fantasy Basketball Breakdown,
"Week 2 - Daily and Weekly League Streaming Help, Injury Updates & Strategies",2023-10-30 22:27:46+00:00,Fantasy NBA Today/Week 2 - Daily and Weekly League Streaming Help Injury Updates  Strategies.mp3,0:54:30,49.97,,Week 2 - Daily and Weekly League Streaming Help Injury Updates  Strategies,
"Weekend 1 Review, Waiver Wire Adds & Drops and Monday Preview",2023-10-30 17:53:32+00:00,Fantasy NBA Today/Weekend 1 Review Waiver Wire Adds  Drops and Monday Preview.mp3,1:12:43,66.64,,Weekend 1 Review Waiver Wire Adds  Drops and Monday Preview,
"Week 1 Fantasy Basketball Recap - Adds, Drops, Buys, Sells",2023-10-27 18:05:30+00:00,Fantasy NBA Today/Week 1 Fantasy Basketball Recap - Adds Drops Buys Sells.mp3,1:06:04,60.55,,Week 1 Fantasy Basketball Recap - Adds Drops Buys Sells,
"Jalen Johnson Breaks Out, a Big Wednesday Fantasy Basketball Recap & TNT Thursday Lookahead",2023-10-26 17:20:53+00:00,Fantasy NBA Today/Jalen Johnson Breaks Out a Big Wednesday Fantasy Basketball Recap  TNT Thursday Lookahead.mp3,1:03:05,57.81,,Jalen Johnson Breaks Out a Big Wednesday Fantasy Basketball Recap  TNT Thursday Lookahead,
"Opening Night Fantasy Basketball Recap & Big Wednesday Lookahead - Jokic, Booker Dominate",2023-10-25 18:50:04+00:00,Fantasy NBA Today/Opening Night Fantasy Basketball Recap  Big Wednesday Lookahead - Jokic Booker Dominate.mp3,0:56:22,51.67,,Opening Night Fantasy Basketball Recap  Big Wednesday Lookahead - Jokic Booker Dominate,
Week 1 Preview - Fantasy Basketball Daily and Weekly Strategies,2023-10-24 22:31:23+00:00,Fantasy NBA Today/Week 1 Preview - Fantasy Basketball Daily and Weekly Strategies.mp3,0:43:58,40.32,,Week 1 Preview - Fantasy Basketball Daily and Weekly Strategies,
Real Cash Draft Results & Analysis,2023-10-24 17:23:29+00:00,Fantasy NBA Today/Real Cash Draft Results  Analysis.mp3,0:55:54,51.24,,Real Cash Draft Results  Analysis,
The 12 Best Players in Fantasy Basketball,2023-10-23 21:04:09+00:00,Fantasy NBA Today/The 12 Best Players in Fantasy Basketball.mp3,0:50:54,46.67,,The 12 Best Players in Fantasy Basketball,
Must Draft Players for Fantasy Basketball - The Old Man Squad,2023-10-20 17:29:36+00:00,Fantasy NBA Today/Must Draft Players for Fantasy Basketball - The Old Man Squad.mp3,1:02:59,57.73,,Must Draft Players for Fantasy Basketball - The Old Man Squad,
Mock Draft Review (Pick 1) & Must Draft Targets with Dan Titus,2023-10-19 22:33:49+00:00,Fantasy NBA Today/Mock Draft Review Pick 1  Must Draft Targets with Dan Titus.mp3,0:43:13,39.63,,Mock Draft Review Pick 1  Must Draft Targets with Dan Titus,
Building the Most Fun Team,2023-10-19 18:51:45+00:00,Fantasy NBA Today/Building the Most Fun Team.mp3,0:31:54,29.27,,Building the Most Fun Team,
Mock Draft Review (Pick 2) & Must Draft Targets with Josh Lloyd,2023-10-19 04:57:59+00:00,Fantasy NBA Today/Mock Draft Review Pick 2  Must Draft Targets with Josh Lloyd.mp3,0:54:54,50.33,,Mock Draft Review Pick 2  Must Draft Targets with Josh Lloyd,
How to Navigate a Fantasy Basketball Draft - The Definitive Strategy Guide with Aaron Bruski,2023-10-18 20:47:05+00:00,Fantasy NBA Today/How to Navigate a Fantasy Basketball Draft - The Definitive Strategy Guide with Aaron Bruski.mp3,0:50:53,46.65,,How to Navigate a Fantasy Basketball Draft - The Definitive Strategy Guide with Aaron Bruski,
Sleepers & Mock Draft Review with Alex Rikleen,2023-10-18 04:22:29+00:00,Fantasy NBA Today/Sleepers  Mock Draft Review with Alex Rikleen.mp3,0:44:09,40.48,,Sleepers  Mock Draft Review with Alex Rikleen,
